,Year,Latitude,Longitude,Date,TOTN,TOTP,TOTK,TOTIRRIG,GWSO,DVS,LAI,RD,WSO,NAVAIL,PAVAIL,KAVAIL,WC,SM,IRRAD,TMIN,TMAX,TEMP,VAP,RAIN,WIND,Days Elapsed,Rewards
0,1984,50.0,5.0,01/03/1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0334165,11.2,0.0,0.341,0.341,0.341,3.5329092,0.3154383,2380000.0,2.62,5.44,4.16,7.97935,0.795,6.12,1.0,0.0
1,1984,50.0,5.0,01/04/1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0334165,12.4,0.0,0.682,0.682,0.682,4.6987734,0.37893334,3350000.0,0.18,5.37,3.28,7.0161166,1.422,8.12,2.0,0.0
2,1984,50.0,5.0,01/05/1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0334165,13.6,0.0,1.023,1.023,1.023,6.491593,0.477323,1150000.0,-1.06,2.25,0.58,6.1347227,0.407,5.16,3.0,0.0
3,1984,50.0,5.0,01/06/1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0334165,14.8,0.0,1.364,1.364,1.364,7.0364366,0.4754349,2630000.0,-2.72,0.4,-0.75,5.5618987,0.409,4.3,4.0,0.0
4,1984,50.0,5.0,01/07/1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0334165,16.0,0.0,1.705,1.705,1.705,7.593042,0.47456512,1500000.0,0.43,1.76,1.09,6.482272,0.102,2.73,5.0,0.0
5,1984,50.0,5.0,01/08/1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0334165,17.2,0.0,2.046,2.046,2.046,7.840702,0.45585477,1650000.0,-0.27,3.72,1.01,6.2245474,1.016,4.8,6.0,0.0
6,1984,50.0,5.0,01/09/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,18.4,0.0,2.387,2.387,2.387,9.208738,0.5004749,1880000.0,-0.48,1.64,0.38,6.002135,0.229,4.38,7.0,0.0
7,1984,50.0,5.0,01/10/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,19.6,0.0,2.728,2.728,5.528,9.265208,0.4727147,2640000.0,-1.05,1.83,0.08,5.962856,0.062,2.89,8.0,0.0
8,1984,50.0,5.0,01/11/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,20.8,0.0,3.069,3.069,5.869,9.466176,0.45510462,2770000.0,-3.07,1.58,-1.26,5.278005,0.056,3.12,9.0,0.0
9,1984,50.0,5.0,01/12/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,22.0,0.0,3.41,3.41,6.21,9.910274,0.450467,1020000.0,-0.99,1.08,0.18,5.9454713,0.371,6.08,10.0,0.0
10,1984,50.0,5.0,01/13/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,23.2,0.0,3.751,3.751,6.551,10.66123,0.45953578,1680000.0,-2.19,2.27,0.45,6.054863,0.406,4.52,11.0,0.0
11,1984,50.0,5.0,01/14/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,24.4,0.0,4.092,4.092,6.892,11.453625,0.46941087,1180000.0,-2.09,7.8,1.9,6.6241813,0.988,7.73,12.0,0.0
12,1984,50.0,5.0,01/15/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,25.6,0.0,4.433,4.433,7.233,12.602339,0.49227884,270000.0,0.39,9.37,4.51,7.8231106,1.72,7.12,13.0,0.0
13,1984,50.0,5.0,01/16/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,26.8,0.0,4.774,4.774,7.574,14.136842,0.5274941,1970000.0,-0.83,1.24,0.15,5.8506565,0.479,6.15,14.0,0.0
14,1984,50.0,5.0,01/17/1984,0.0,0.0,4.0,0.0,0.0,0.0,0.0334165,28.0,0.0,5.115,5.115,7.915,14.454692,0.516239,1770000.0,-0.04,5.75,1.89,6.7542396,1.078,6.91,15.0,0.0
15,1984,50.0,5.0,01/18/1984,0.0,0.0,4.0,0.0,0.0,6.694032e-06,0.0334165,29.2,0.0,5.456,5.456,8.256,15.350455,0.5257005,3860000.0,-0.62,6.74,3.17,6.9162602,0.578,6.43,16.0,0.0
16,1984,50.0,5.0,01/19/1984,0.0,0.0,4.0,0.0,0.0,3.7822425e-05,0.0334165,30.4,0.0,5.797,5.797,8.597,15.795129,0.5195766,4590000.0,-1.45,2.26,0.08,5.8165116,0.072,4.1,17.0,0.0
17,1984,50.0,5.0,01/20/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,31.6,0.0,6.138,6.138,8.938,15.743282,0.49820513,3740000.0,-3.1,0.69,-1.07,5.420306,0.09,2.77,18.0,0.0
18,1984,50.0,5.0,01/21/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,32.8,0.0,6.479,6.479,9.279,15.716929,0.47917467,4060000.0,-4.13,2.02,-1.58,5.1390214,0.019,1.98,19.0,0.0
19,1984,50.0,5.0,01/22/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,34.0,0.0,6.82,6.82,9.62,15.627118,0.4596211,5570000.0,-3.41,0.69,-1.7,4.688284,0.001,3.45,20.0,0.0
20,1984,50.0,5.0,01/23/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,35.2,0.0,7.161,7.161,9.961,16.069273,0.45651343,1630000.0,-4.12,1.36,-1.43,5.165789,0.435,5.22,21.0,0.0
21,1984,50.0,5.0,01/24/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,36.4,0.0,7.502,7.502,10.302,16.939335,0.46536633,1680000.0,-2.34,1.51,-0.53,5.5947185,0.959,6.27,22.0,0.0
22,1984,50.0,5.0,01/25/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,37.6,0.0,7.843,7.843,10.643,18.146694,0.48262483,1300000.0,-2.42,0.47,-0.52,5.623576,0.76,7.05,23.0,0.0
23,1984,50.0,5.0,01/26/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,38.8,0.0,8.184,8.184,10.984,18.802502,0.48460054,5620000.0,-4.94,0.6,-2.62,4.773376,0.055,2.91,24.0,0.0
24,1984,50.0,5.0,01/27/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,40.0,0.0,8.525,8.525,11.325,18.76727,0.46918172,2060000.0,-3.65,0.57,-1.13,5.3290052,0.452,5.67,25.0,0.0
25,1984,50.0,5.0,01/28/1984,0.0,0.0,4.0,0.0,0.0,3.9231938e-05,0.0334165,41.2,0.0,8.866,8.866,11.666,19.317186,0.46886373,6380000.0,0.27,2.2,1.24,6.5339904,0.09,5.31,26.0,0.0
26,1984,50.0,5.0,01/29/1984,0.0,0.0,4.0,0.0,0.0,0.000109612716,0.0334165,42.4,0.0,9.207,9.207,12.007,19.512747,0.4602063,1620000.0,0.37,2.71,1.38,6.6624846,0.315,4.0,27.0,0.0
27,1984,50.0,5.0,01/30/1984,0.0,0.0,4.0,0.0,0.0,0.00019996866,0.0334165,43.6,0.0,9.548,9.548,12.348,20.285435,0.46526223,2800000.0,-0.79,2.37,0.98,6.43557,0.754,4.64,28.0,0.0
28,1984,50.0,5.0,01/31/1984,0.0,0.0,4.0,0.0,0.0,0.00027325298,0.0334165,44.8,0.0,9.889,9.889,12.689,21.28435,0.4750971,4390000.0,1.16,2.46,1.73,6.802979,0.537,3.99,29.0,0.0
29,1984,50.0,5.0,02/01/1984,0.0,0.0,4.0,0.0,0.0,0.0004184116,0.0334165,46.0,0.0,10.23,10.23,13.03,21.754423,0.47292227,4510000.0,-0.05,4.68,1.77,6.510437,0.653,3.48,30.0,0.0
30,1984,50.0,5.0,02/02/1984,0.0,0.0,4.0,0.0,0.0,0.0005857498,0.0334165,47.2,0.0,10.571,10.571,13.371,22.344532,0.4734011,3950000.0,-0.09,2.72,1.69,6.768829,0.669,3.43,31.0,0.0
31,1984,50.0,5.0,02/03/1984,0.0,0.0,4.0,0.0,0.0,0.00076435634,0.0334165,48.4,0.0,10.912,10.912,13.712,22.964602,0.47447523,2710000.0,2.85,4.81,3.52,7.529398,0.255,4.65,32.0,0.0
32,1984,50.0,5.0,02/04/1984,0.0,0.0,4.0,0.0,0.0,0.0011767575,0.0334165,49.6,0.0,11.253,11.253,14.053,23.154934,0.46683332,1220000.0,0.63,5.87,2.42,7.03624,1.209,5.62,33.0,0.0
33,1984,50.0,5.0,02/05/1984,0.0,0.0,4.0,0.0,0.0,0.0014942588,0.0334165,50.8,0.0,11.594,11.594,14.394,24.540527,0.48308125,2900000.0,-0.92,7.02,2.69,7.1836658,0.152,4.08,34.0,0.0
34,1984,50.0,5.0,02/06/1984,0.0,0.0,4.0,0.0,0.0,0.0018839039,0.0334165,52.0,0.0,11.935,11.935,14.735,24.647215,0.4739849,4540000.0,-1.09,7.36,3.69,7.2248116,0.392,4.95,35.0,0.0
35,1984,50.0,5.0,02/07/1984,0.0,0.0,4.0,0.0,0.0,0.0024723988,0.0334165,53.2,0.0,12.276,12.276,15.076,25.0139,0.4701861,3610000.0,0.54,6.98,4.03,7.8563614,2.677,8.12,36.0,0.0
36,1984,50.0,5.0,02/08/1984,0.0,0.0,4.0,0.5,0.0,0.003178491,0.0334165,54.4,0.0,12.617,12.617,15.417,27.693306,0.50906813,6400000.0,-0.26,6.74,3.2,6.6865234,0.679,6.91,37.0,0.0
37,1984,50.0,5.0,02/09/1984,0.0,0.0,4.0,0.5,0.0,0.0037913648,0.0334165,55.6,0.0,12.958,12.958,15.758,28.687294,0.51595855,4220000.0,-0.18,3.29,1.48,6.3109555,1.329,7.27,38.0,0.0
38,1984,50.0,5.0,02/10/1984,0.0,0.0,4.0,0.5,0.0,0.0040998454,0.0334165,56.8,0.0,13.299,13.299,16.099,29.98982,0.5279898,6580000.0,-0.64,4.01,1.29,6.2335935,0.244,5.49,39.0,0.0
39,1984,50.0,5.0,02/11/1984,0.0,0.0,4.0,0.5,0.0,0.004387706,0.0334165,58.0,0.0,13.64,13.64,16.44,30.227123,0.5211573,4800000.0,-1.65,4.35,1.2,6.2335935,0.041,2.27,40.0,0.0
40,1984,50.0,5.0,02/12/1984,0.0,0.0,4.0,0.5,0.0,0.0046732966,0.0334165,59.2,0.0,13.731,13.731,16.531,30.270426,0.51132476,3440000.0,0.94,5.94,3.29,7.2609854,0.08,3.23,41.0,0.0
41,1984,50.0,5.0,02/13/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,60.4,0.0,13.822,13.822,16.622,30.34006,0.50231886,8460000.0,-4.42,3.37,-1.27,4.702372,0.0,3.53,42.0,0.0
42,1984,50.0,5.0,02/14/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,61.6,0.0,13.913,13.913,16.713,30.341778,0.49256134,8600000.0,-4.25,3.74,-1.28,4.8671002,0.0,3.23,43.0,0.0
43,1984,50.0,5.0,02/15/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,62.8,0.0,14.004,14.004,16.804,30.361198,0.48345858,8380000.0,-3.82,3.72,-1.24,4.688284,0.0,2.15,44.0,0.0
44,1984,50.0,5.0,02/16/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,64.0,0.0,14.095,14.095,16.895,30.384954,0.4747649,9310000.0,-4.09,2.54,-1.59,4.5666,0.0,1.64,45.0,0.0
45,1984,50.0,5.0,02/17/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,65.2,0.0,14.186,14.186,16.986,30.414923,0.46648654,8860000.0,-7.15,1.71,-2.84,4.0948815,0.001,0.93,46.0,0.0
46,1984,50.0,5.0,02/18/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,66.4,0.0,14.277,14.277,17.077,30.57492,0.46046567,9230000.0,-6.63,1.35,-3.4,4.0855317,0.0,1.38,47.0,0.0
47,1984,50.0,5.0,02/19/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,67.6,0.0,14.368,14.368,17.168,31.118286,0.46032968,9450000.0,-8.43,2.48,-3.61,3.9324658,0.0,1.91,48.0,0.0
48,1984,50.0,5.0,02/20/1984,0.0,0.0,4.0,0.5,0.0,0.005506121,0.0334165,68.8,0.0,14.459,14.459,17.259,31.66228,0.46020755,10080000.0,-7.6,1.08,-3.84,4.1230445,0.0,2.8,49.0,0.0
49,1984,50.0,5.0,02/21/1984,0.0,0.0,4.0,1.0,0.0,0.005506121,0.0334165,70.0,0.0,14.55,14.55,17.35,32.2059,0.46008423,9660000.0,-6.81,2.89,-1.91,4.925584,0.043,3.23,50.0,0.0
50,1984,50.0,5.0,02/22/1984,0.0,0.0,4.0,1.0,0.0,0.005506121,0.0334165,71.2,0.0,14.641,14.641,17.441,33.145,0.46551967,5370000.0,0.09,1.91,0.75,6.2335935,0.384,4.37,51.0,0.0
51,1984,50.0,5.0,02/23/1984,0.0,0.0,4.0,1.0,0.0,0.005776692,0.0334165,72.4,0.0,14.732,14.732,17.532,33.688,0.46530387,4480000.0,-0.22,2.88,0.82,6.201983,0.153,3.18,52.0,0.0
52,1984,50.0,5.0,02/24/1984,0.0,0.0,4.0,1.0,0.0,0.006087372,0.0334165,73.6,0.0,14.823,14.823,17.623,34.009,0.4620788,6110000.0,-0.99,4.23,0.95,6.1794906,0.193,2.82,53.0,0.0
53,1984,50.0,5.0,02/25/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,74.8,0.0,14.914,14.914,17.714,34.601,0.4625802,5640000.0,-2.44,1.04,-1.15,5.040669,0.028,4.2,54.0,0.0
54,1984,50.0,5.0,02/26/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,76.0,0.0,15.005,15.005,17.805,34.988,0.46036842,3760000.0,-2.4,1.16,-1.08,4.9958405,0.06,4.99,55.0,0.0
55,1984,50.0,5.0,02/27/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,77.2,0.0,15.096,15.096,17.896,35.564342,0.460678,3440000.0,-2.43,2.76,-0.17,5.50082,0.064,2.16,56.0,0.0
56,1984,50.0,5.0,02/28/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,78.4,0.0,15.187,15.187,17.987,36.128,0.46081632,2800000.0,-1.91,0.76,-0.42,5.727718,0.61,2.48,57.0,0.0
57,1984,50.0,5.0,02/29/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,79.6,0.0,15.278,15.278,18.078,37.226,0.46766332,4300000.0,-3.68,2.18,-0.9,5.4483666,0.121,1.96,58.0,0.0
58,1984,50.0,5.0,03/01/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,80.8,0.0,15.369,15.369,18.169,37.324306,0.46193448,11070000.0,-4.25,4.44,-0.78,5.332947,0.002,1.73,59.0,0.0
59,1984,50.0,5.0,03/02/1984,0.0,0.0,4.0,1.0,0.0,0.006465112,0.0334165,82.0,0.0,15.46,15.46,18.26,37.722,0.4600244,8530000.0,-3.17,4.28,0.17,5.7109413,0.026,1.3,60.0,0.0
60,1984,50.0,5.0,03/03/1984,0.0,0.0,4.0,1.0,0.0,0.0065528923,0.0334165,83.2,0.0,15.551,15.551,18.351,38.294376,0.46026894,4650000.0,-1.22,3.07,1.19,6.242651,0.63,5.27,61.0,0.0
61,1984,50.0,5.0,03/04/1984,0.0,0.0,4.0,1.0,0.0,0.007191459,0.0334165,84.4,0.0,15.642,15.642,18.442,39.44596,0.4673692,4910000.0,-1.38,1.58,0.12,5.872087,0.718,5.86,62.0,0.0
62,1984,50.0,5.0,03/05/1984,0.0,0.0,4.0,1.0,0.0,0.007258681,0.0334165,85.6,0.0,15.733,15.733,18.533,40.13,0.46880844,10300000.0,-2.46,3.59,-0.09,5.3211308,0.014,1.38,63.0,0.0
63,1984,50.0,5.0,03/06/1984,0.0,0.0,4.0,1.0,0.0,0.007258681,0.0334165,86.8,0.0,15.824,15.824,18.624,40.115566,0.4621609,5620000.0,-2.85,3.36,0.22,5.884979,0.018,1.09,64.0,0.0
64,1984,50.0,5.0,03/07/1984,0.0,0.0,4.0,1.0,0.0,0.00739111,0.0334165,88.0,0.0,15.915,15.915,18.715,40.50312,0.46026272,6610000.0,-1.06,7.48,2.42,6.7445292,0.015,1.47,65.0,0.0
65,1984,50.0,5.0,03/08/1984,0.0,0.0,4.0,1.0,0.0,0.008901313,0.0334165,89.2,0.0,16.006,16.006,18.806,41.047,0.46016815,5880000.0,-0.74,5.84,2.44,7.031204,0.03,3.02,66.0,0.0
66,1984,50.0,5.0,03/09/1984,0.0,0.0,4.0,1.0,0.0,0.0104952,0.0334165,90.4,0.0,16.097,16.097,18.897,41.60967,0.46028394,10570000.0,-2.24,3.03,-0.21,5.177299,0.017,4.24,67.0,0.0
67,1984,50.0,5.0,03/10/1984,0.0,0.0,4.0,1.0,0.0,0.0104952,0.0334165,91.6,0.0,16.188,16.188,18.988,42.141144,0.46005616,9860000.0,-3.68,1.24,-1.7,4.528939,0.012,3.65,68.0,0.0
68,1984,50.0,5.0,03/11/1984,0.0,0.0,4.0,1.0,0.0,0.0104952,0.0334165,92.8,0.0,16.279,16.279,19.079,42.681347,0.4599283,5740000.0,-4.24,-0.14,-1.68,4.766233,0.188,1.91,69.0,0.0
69,1984,50.0,5.0,03/12/1984,0.0,0.0,4.0,1.0,0.0,0.0104952,0.0334165,94.0,0.0,16.37,16.37,19.17,43.405487,0.4617605,5700000.0,-1.1,3.77,0.54,6.0769534,0.128,2.05,70.0,0.0
70,1984,50.0,5.0,03/13/1984,0.0,0.0,4.0,1.0,0.0,0.010895576,0.0334165,95.2,0.0,16.461,16.461,19.261,43.92,0.46134454,12320000.0,-2.61,5.54,0.94,5.731919,0.022,2.05,71.0,0.0
71,1984,50.0,5.0,03/14/1984,0.0,0.0,4.0,1.0,0.0,0.011616677,0.0334165,96.4,0.0,16.552,16.552,19.352,44.366,0.4602282,9590000.0,-3.56,4.33,0.06,5.3211308,0.006,2.23,72.0,0.0
72,1984,50.0,5.0,03/15/1984,0.0,0.0,4.0,1.0,0.0,0.011664353,0.0334165,97.6,0.0,16.643,16.643,19.443,44.896126,0.46000126,14590000.0,-2.51,8.67,1.62,5.833562,0.0,2.22,73.0,0.0
73,1984,50.0,5.0,03/16/1984,0.0,0.0,4.0,1.0,0.0,0.012992121,0.0334165,98.8,0.0,16.734,16.734,19.534,45.43379,0.45985615,14810000.0,-2.79,8.95,1.88,6.211,0.0,2.27,74.0,0.0
74,1984,50.0,5.0,03/17/1984,0.0,0.0,4.0,1.0,0.0,0.014590763,0.0334165,100.0,0.0,16.825,16.825,19.625,45.977783,0.45977786,13580000.0,-2.17,9.41,2.51,6.265346,0.001,1.91,75.0,0.0
75,1984,50.0,5.0,03/18/1984,0.0,0.0,4.0,1.0,0.0,0.01680591,0.0334165,101.2,0.0,16.916,16.916,19.716,46.522766,0.4597111,11620000.0,-2.26,8.37,2.69,6.444886,0.006,1.56,76.0,0.0
76,1984,50.0,5.0,03/19/1984,0.0,0.0,6.0,1.0,0.0,0.019274002,0.0334165,102.4,0.0,17.007,17.007,19.807,47.07301,0.45969737,8990000.0,-1.79,7.94,3.13,6.700983,0.015,1.38,77.0,0.0
77,1984,50.0,5.0,03/20/1984,0.0,0.0,6.0,1.0,0.0,0.022259295,0.0334165,103.6,0.0,17.098,17.098,21.298,47.628113,0.4597308,12860000.0,-1.02,8.4,3.09,6.3799195,0.008,2.17,78.0,0.0
78,1984,50.0,5.0,03/21/1984,0.0,0.0,6.0,1.0,0.0,0.025291981,0.0334165,104.8,0.0,17.189,17.189,21.389,48.16479,0.4595877,15890000.0,-3.25,9.37,2.86,5.4283104,0.0,1.18,79.0,0.0
79,1984,50.0,5.0,03/22/1984,0.0,0.0,6.0,1.0,0.0,0.02813638,0.0334165,106.0,0.0,17.28,17.28,21.48,48.70029,0.4594367,16170000.0,-0.49,10.31,3.78,5.533321,0.0,1.2,80.0,0.0
80,1984,50.0,5.0,03/23/1984,0.0,0.0,6.0,1.0,0.0,0.031945333,0.0334165,107.2,0.0,17.371,17.371,21.571,49.24272,0.45935374,13850000.0,-0.75,10.81,4.57,6.324695,0.001,1.36,81.0,0.0
81,1984,50.0,5.0,03/24/1984,0.0,0.0,6.0,1.0,0.0,0.03661036,0.0334165,108.4,0.0,17.462,17.462,21.662,49.786682,0.45928675,14040000.0,-0.07,9.86,4.48,6.802979,0.009,1.88,82.0,0.0
82,1984,50.0,5.0,03/25/1984,0.0,0.0,6.0,1.0,0.0,0.041242447,0.0334165,109.6,0.0,17.553,17.553,21.753,50.33746,0.45928338,4730000.0,2.15,6.4,4.34,7.529398,0.354,5.09,83.0,0.0
83,1984,50.0,5.0,03/26/1984,0.0,0.0,6.0,1.0,0.0,0.045786943,0.0334165,110.8,0.0,17.644,17.644,21.844,51.227985,0.46234643,10080000.0,2.25,8.6,4.83,7.609992,0.25,4.89,84.0,0.0
84,1984,50.0,5.0,03/27/1984,0.0,0.0,6.0,1.0,0.0,0.05090823,0.0334165,112.0,0.0,17.735,17.735,21.935,51.77,0.46223214,5640000.0,3.07,7.33,4.97,7.956863,0.54,5.46,85.0,0.0
85,1984,50.0,5.0,03/28/1984,0.0,0.0,6.0,1.0,0.0,0.056243587,0.0334165,113.2,0.0,17.826,17.826,22.026,52.612,0.46477032,10770000.0,3.06,7.41,4.97,8.282644,0.71,5.77,86.0,0.0
86,1984,50.0,5.0,03/29/1984,0.0,0.0,6.0,1.0,0.0,0.06164464,0.03342569,114.4,0.0,17.916494,17.916906,22.11599,53.34467,0.46629956,7090000.0,3.01,9.08,6.23,9.088959,0.589,4.77,87.0,0.0
87,1984,50.0,5.0,03/30/1984,0.0,0.0,6.0,1.0,0.0,0.06849741,0.03345948,115.6,0.0,18.005646,18.007565,22.20329,53.904537,0.46630225,8160000.0,0.95,6.6,4.48,7.6424417,0.688,3.33,88.0,0.0
88,1984,50.0,5.0,03/31/1984,0.0,0.0,6.0,1.0,0.0,0.073484585,0.03350559,116.8,0.0,18.094137,18.098099,22.289274,54.61288,0.46757603,11270000.0,0.26,7.12,3.16,6.798091,0.074,1.48,89.0,0.0
89,1984,50.0,5.0,04/01/1984,0.0,0.0,6.0,1.0,0.0,0.07704421,0.033580385,118.0,0.0,18.181086,18.188347,22.372171,54.809822,0.46449,11650000.0,0.03,8.77,4.26,7.255808,0.319,1.93,90.0,0.0
90,1984,50.0,5.0,04/02/1984,0.0,0.0,6.0,1.0,0.0,0.081899464,0.03365465,119.2,0.0,18.268076,18.278603,22.455154,55.36085,0.46443668,7090000.0,-0.63,3.02,1.19,6.306381,1.478,5.09,91.0,0.0
91,1984,50.0,5.0,04/03/1984,0.0,0.0,6.0,1.0,0.0,0.08327153,0.03365465,120.0,0.0,18.359077,18.369604,22.546154,56.848183,0.47373486,13770000.0,-2.02,3.51,0.39,5.325067,0.071,4.95,92.0,0.0
92,1984,50.0,5.0,04/04/1984,0.0,0.0,6.0,1.0,0.0,0.083726384,0.03365465,120.0,0.0,18.450077,18.460604,22.637154,56.411835,0.4700986,10530000.0,-2.76,4.07,0.25,5.2858233,0.046,2.89,93.0,0.0
93,1984,50.0,5.0,04/05/1984,0.0,0.0,6.0,1.0,0.0,0.08402128,0.03365465,120.0,0.0,18.541077,18.551603,22.728153,55.9809,0.4665075,8960000.0,-3.41,5.07,1.03,5.278005,0.035,0.7,94.0,0.0
94,1984,50.0,5.0,04/06/1984,0.0,0.0,6.0,1.0,0.0,0.08524992,0.03365465,120.0,0.0,18.632076,18.642603,22.819153,55.57327,0.46311057,5610000.0,-1.12,2.53,0.59,6.002135,0.673,1.57,95.0,0.0
95,1984,50.0,5.0,04/07/1984,0.0,0.0,6.0,1.0,0.0,0.08596156,0.03365465,120.0,0.0,18.723076,18.733604,22.910154,55.873,0.46560833,6360000.0,-0.7,2.88,1.53,6.590826,0.879,3.12,96.0,0.0
96,1984,50.0,5.0,04/08/1984,0.0,0.0,6.0,1.0,0.0,0.08782732,0.03365465,120.0,0.0,18.814077,18.824604,23.001154,56.321194,0.46934327,8010000.0,0.66,7.82,3.93,7.302522,0.187,2.3,97.0,0.0
97,1984,50.0,5.0,04/09/1984,0.0,0.0,6.0,1.0,0.0,0.09267201,0.03365465,120.0,0.0,18.905077,18.915604,23.092154,56.03913,0.46699274,7930000.0,0.07,7.82,3.7,7.1529417,0.065,2.3,98.0,0.0
98,1984,50.0,5.0,04/10/1984,0.0,0.0,6.0,1.0,0.0,0.09728235,0.03365465,120.0,0.0,18.996077,19.006603,23.183153,55.635796,0.46363163,8950000.0,0.58,6.91,3.39,6.7251444,0.058,1.91,99.0,0.0
99,1984,50.0,5.0,04/11/1984,0.0,0.0,6.0,1.0,0.0,0.10155147,0.03365465,120.0,0.0,19.087076,19.097603,23.274153,55.258,0.46048334,9470000.0,0.58,6.65,3.45,6.8421936,0.147,2.05,100.0,0.0
100,1984,50.0,5.0,04/12/1984,0.0,0.0,6.0,1.0,0.0,0.10594197,0.03365465,120.0,0.0,19.178078,19.188604,23.365154,55.328144,0.4610679,15970000.0,1.29,10.18,5.0,7.333812,0.029,1.98,101.0,0.0
101,1984,50.0,5.0,04/13/1984,0.0,0.0,6.0,1.0,0.0,0.11237141,0.03365465,120.0,0.0,19.269077,19.279604,23.456154,55.190514,0.45992097,15510000.0,0.62,8.98,4.93,7.3862257,0.182,2.51,102.0,0.0
102,1984,50.0,5.0,04/14/1984,0.0,0.0,6.0,1.0,0.0,0.118776225,0.03365465,120.0,0.0,19.360077,19.370604,23.547153,55.319008,0.4609917,18010000.0,-0.94,12.54,6.0,7.1529417,0.0,1.37,103.0,0.0
103,1984,50.0,5.0,04/15/1984,0.0,0.0,8.0,1.0,0.0,0.12665066,0.03365465,120.0,0.0,19.451077,19.461603,23.638153,55.13745,0.45947877,19690000.0,1.33,15.06,8.22,9.000945,0.0,2.47,104.0,0.0
104,1984,50.0,5.0,04/16/1984,0.0,0.0,8.0,1.0,0.0,0.13754748,0.03365465,120.0,0.0,19.542076,19.552603,25.129154,55.105137,0.45920947,15420000.0,5.69,16.26,9.94,10.582434,0.288,4.16,105.0,0.0
105,1984,50.0,5.0,04/17/1984,0.0,0.0,8.0,1.0,0.0,0.15085585,0.03376094,120.0,0.0,19.628006,19.642653,25.21001,55.360317,0.461336,15380000.0,0.3,7.98,4.84,7.1223345,0.093,2.77,106.0,0.0
106,1984,50.0,5.0,04/18/1984,0.0,0.0,8.0,1.0,0.0,0.15739991,0.033794697,120.0,0.0,19.717451,19.73336,25.297903,55.293,0.460775,18020000.0,-0.91,9.74,4.12,6.347654,0.003,1.85,107.0,0.0
107,1984,50.0,5.0,04/19/1984,0.0,0.0,8.0,1.0,0.0,0.16302478,0.033822756,120.0,0.0,19.807182,19.82412,25.386362,55.1793,0.45982748,21040000.0,-1.17,12.68,6.25,6.486959,0.0,1.21,108.0,0.0
108,1984,50.0,5.0,04/20/1984,0.0,0.0,8.0,1.0,0.0,0.17163992,0.033822756,120.0,0.0,19.898182,19.915121,25.477364,55.149433,0.45957863,19020000.0,-0.05,13.12,7.91,6.931158,0.0,1.3,109.0,0.0
109,1984,50.0,5.0,04/21/1984,0.0,0.0,8.0,1.0,0.0,0.18264714,0.033822756,120.0,0.0,19.989182,20.00612,25.568363,55.12409,0.45936742,21470000.0,2.43,16.19,10.44,7.631612,0.0,0.91,110.0,0.0
110,1984,50.0,5.0,04/22/1984,0.0,0.0,8.0,1.0,0.0,0.19731179,0.033930086,120.0,0.0,20.075632,20.096258,25.650265,55.095013,0.4591251,21360000.0,6.99,20.05,13.73,9.241606,0.0,0.88,111.0,0.0
